,Lambda,Feature,Aggregation Type,Attack Mean,Benign Mean,Total Mean
324,0.01,75th QDS,DST IP,3.8471124525814944e-05,-3.982799070690964e-05,-6.784330905473481e-07
325,5.0,25th QDS,Socket,-9.289716039891776e-06,7.463863397570138e-06,-9.129263211608192e-07
326,5.0,Variance (JIT),Channel (JIT),3.0914972362064086e-05,-3.313252788019685e-05,-1.1087777590663826e-06
327,0.1,TCP SYN,DST IP,2.2848356921064534e-05,-2.588094164734194e-05,-1.5162923631387022e-06
328,0.01,50th QDS,SRC IP,3.532843849237099e-05,-3.855769733333061e-05,-1.6146294204798088e-06
329,1.0,TCP Flag count,SRC IP,0.00015166830059245318,-0.00015574573977291414,-2.038719590230484e-06
330,1.0,Covariance,Channel,2.2005194704826938e-05,-2.608743947139264e-05,-2.041122383282851e-06
331,0.01,TCP SYN,Channel,-2.2700285357655548e-05,1.5823662192254875e-05,-3.4383115827003366e-06
332,0.1,75th QDS,Channel,-4.8450600279115076e-05,4.082724931557088e-05,-3.8116754817720974e-06
333,1.0,50th QDS,DST IP,3.4524991340646545e-05,-4.268454717883364e-05,-4.079777919093548e-06
334,5.0,TCP FIN,DST IP,1.8424211485444417e-05,-2.6766118940421352e-05,-4.170953727488468e-06
335,0.1,Mean,Socket,1.7505945344564425e-05,-2.758092105217319e-05,-5.037487853804383e-06
336,3.0,Mean,Socket,2.4284580186841848e-05,-3.5409065383132515e-05,-5.5622425981453335e-06
337,1.0,Median (JIT),DST IP (JIT),-2.0223153595183616e-05,8.605235658196489e-06,-5.8089589684935636e-06
338,1.0,Median (JIT),SRC IP (JIT),-1.3219933666639367e-05,1.460386063712785e-06,-5.879773801463291e-06
339,5.0,50th QDS,Channel,1.1703930685744112e-05,-2.3688081141489463e-05,-5.992075227872676e-06
340,3.0,Median (JIT),DST IP (JIT),3.8836228742455e-05,-5.1515613941417504e-05,-6.339692599481251e-06
341,0.01,TCP SYN,DST IP,1.687851897787134e-05,-2.9585723701239878e-05,-6.35360236168427e-06
342,3.0,Variance,SRC IP,7.867703465204994e-05,-9.486664313686654e-05,-8.0948042424083e-06
343,0.01,TCP ECE,SRC IP,-1.6770606190718712e-05,0.0,-8.385303095359356e-06
344,1.0,TCP SYN,DST IP,1.17334221660559e-05,-2.8622742282212243e-05,-8.44466005807817e-06
345,0.1,Median (JIT),Socket (JIT),3.59124601643089e-05,-5.337748764614739e-05,-8.732513740919245e-06
346,0.1,Magnitude,Socket,0.0001535061168048016,-0.00017098613231965602,-8.740007757427216e-06
347,5.0,TCP SYN,Socket,2.7390966240113494e-05,-4.644956305582317e-05,-9.52929840785484e-06
348,0.01,Variance (JIT),Socket (JIT),-2.342381610782122e-05,3.495972053977314e-06,-9.963922026921953e-06
349,3.0,75th QDS,DST IP,9.762824610297831e-05,-0.00011853065244201878,-1.0451203169520235e-05
350,0.1,25th QDS,SRC IP,-1.5178275453809174e-05,-5.825061167496828e-06,-1.0501668310653e-05
351,1.0,Weight (JIT),Socket (JIT),-7.908099136462241e-06,-1.3329701807140236e-05,-1.0618900471801239e-05
352,1.0,TCP SYN,SRC IP,1.9822355513447495e-05,-4.157334179976563e-05,-1.0875493143159068e-05
353,0.1,TCP SYN,SRC IP,3.380286588291985e-07,-2.258443018569254e-05,-1.1123200763431672e-05
354,5.0,75th QDS,SRC IP,2.8623026690602965e-05,-5.146478996826977e-05,-1.1420881638833402e-05
355,0.1,Pearson CC,Socket,-3.177299834816951e-05,4.800496779813707e-06,-1.3486250784177902e-05
356,5.0,75th QDS,Socket,9.238291298172699e-06,-3.8324807397778146e-05,-1.4543258049802724e-05
357,3.0,Weight (JIT),Socket (JIT),-2.306774280802679e-05,-6.759733530845735e-06,-1.4913738169436263e-05
358,0.01,Mean (JIT),Socket (JIT),1.9355246724329627e-05,-4.922937230303046e-05,-1.4937062789350416e-05
359,1.0,Covariance,Socket,2.4412391960265778e-05,-5.4420597304896486e-05,-1.5004102672315354e-05
360,3.0,Variance,Socket,-1.4377790505396422e-05,-1.8527535955926514e-05,-1.645266323066147e-05
361,0.01,TCP PSH,DST IP,4.2060472914663695e-05,-7.819727229493353e-05,-1.806839969013492e-05
